"zooLabel","wikidata","abstract","locationLabel","lat","long"
"Kamo Wildlife Sanctuary","http://www.wikidata.org/entity/Q3575597",,,-35.69359970092773,174.2122039794922
"Khao Kheow Open Zoo","http://www.wikidata.org/entity/Q3576017",,,13.21399974822998,101.0599975585938
"Louisville Zoo","http://www.wikidata.org/entity/Q3576024",,,38.20527648925781,-85.70527648925781
"Xcaret Park","http://www.wikidata.org/entity/Q3570845",,,20.57805633544922,-87.11916351318359
"ZooParc de Beauval","http://www.wikidata.org/entity/Q3576007",,,47.24753952026367,1.353360056877136
"Zoomarine","http://www.wikidata.org/entity/Q3576051",,,41.63360977172852,12.45666694641113
"Butterfly Pavilion","http://www.wikidata.org/entity/Q5002947",,,39.88719940185547,-105.0664978027344
"Butterfly World, Isle of Wight","http://www.wikidata.org/entity/Q5002963",,,50.71126937866211,-1.254469990730286
"Buttonwood Park Zoo","http://www.wikidata.org/entity/Q5003118",,,41.62995910644531,-70.95272827148438
"Buttonwood Park Zoo","http://www.wikidata.org/entity/Q5003119",,,41.62995910644531,-70.95272827148438
"Cabrillo Marine Aquarium","http://www.wikidata.org/entity/Q5015841",,,33.71127319335938,-118.2854537963867
"Cairns Tropical Zoo","http://www.wikidata.org/entity/Q5017723",,,-16.75810050964355,145.6627044677734
"Caldwell Zoo","http://www.wikidata.org/entity/Q5019173",,,32.37039947509766,-95.32679748535156
"Cali Zoo","http://www.wikidata.org/entity/Q5019807",,,3.44861102104187,-76.55860900878906
"California Living Museum","http://www.wikidata.org/entity/Q5020672",,,35.43199920654297,-118.8860015869141
"Clearwater Marine Aquarium","http://www.wikidata.org/entity/Q5130943",,,27.97686004638672,-82.81906890869141
"Clyde Peeling's Reptiland","http://www.wikidata.org/entity/Q5136996",,,41.10587310791016,-76.89669799804688
"Colchester Zoo","http://www.wikidata.org/entity/Q5142118",,,51.86249923706055,0.8327777981758118
