zoo,zooLabel,country,countryLabel,region,regionLabel,coord,inception,website
http://www.wikidata.org/entity/Q4923810,Sriracha Tiger Zoo,http://www.wikidata.org/entity/Q869,Thailand,http://www.wikidata.org/entity/Q16743552,Nong Kham,Point(101.0125 13.149167),1997-01-01T00:00:00Z,http://www.tigerzoo.com/
http://www.wikidata.org/entity/Q11264065,Crab Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q200731,Tottori,Point(134.178888888 35.5345),,https://kanikko.jp/
http://www.wikidata.org/entity/Q19746000,Q19746000,http://www.wikidata.org/entity/Q252,Indonesia,http://www.wikidata.org/entity/Q11025,Semarang,Point(110.28853 -6.97017),,
http://www.wikidata.org/entity/Q39060593,Phuket Zoo,http://www.wikidata.org/entity/Q869,Thailand,http://www.wikidata.org/entity/Q5069048,Chalong,Point(98.357941666 7.842791666),1997-01-01T00:00:00Z,http://www.phuketzoo.com/
http://www.wikidata.org/entity/Q41636597,Zoo-Botanical Garden Nahariya,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q167749,Nahariya,Point(35.10075 33.025611111),2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q109365838,KawaZoo,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1203861,Kawazu,,,http://www.kawazoo.jp/
http://www.wikidata.org/entity/Q25663373,Albay Park and Wildlife,http://www.wikidata.org/entity/Q928,Philippines,http://www.wikidata.org/entity/Q1696,Legazpi,Point(123.7302008 13.1567822),,
http://www.wikidata.org/entity/Q11361202,Shimoda Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q653402,Shimoda,Point(138.94597222 34.66605556),1967-01-01T00:00:00Z,https://shimoda-aquarium.com/
http://www.wikidata.org/entity/Q11361202,Shimoda Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q653402,Shimoda,Point(138.94597222 34.66605556),1967-01-01T00:00:00Z,https://shimoda-aquarium.com/shimoda-aquarium-overview/
http://www.wikidata.org/entity/Q4167605,Tashkent Zoo,http://www.wikidata.org/entity/Q265,Uzbekistan,,,Point(69.31083333 41.34027778),1924-01-01T00:00:00Z,http://tashkentzoo.uz/
http://www.wikidata.org/entity/Q4842512,Bahawalpur Zoo,http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q318156,Bahawalpur,Point(71.681666666 29.4025),1942-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4062771,Almaty Zoo,http://www.wikidata.org/entity/Q15180,Soviet Union,http://www.wikidata.org/entity/Q35493,Almaty,Point(76.97405 43.263416),1936-01-01T00:00:00Z,http://www.almatyzoo.kz/
http://www.wikidata.org/entity/Q4809463,Sea Life İstanbul,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q791567,Bayrampaşa,Point(28.8963 41.0456),2009-01-01T00:00:00Z,https://www.visitsealife.com/istanbul/
http://www.wikidata.org/entity/Q19893153,Rohtak Zoo,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1174,Haryana,Point(76.6358 28.8789),,
http://www.wikidata.org/entity/Q11275197,Notojima Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q695892,Nanao,Point(136.98222222 37.14916667),,https://www.notoaqua.jp/
http://www.wikidata.org/entity/Q56349389,Uda Animal Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q863747,Uda,Point(135.932777777 34.488888888),,https://www.pref.nara.jp/1839.htm
http://www.wikidata.org/entity/Q11657210,Bear Garden,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q653545,Kitaakita,Point(140.536111111 39.913888888),1990-01-01T00:00:00Z,http://hahaha.akita.jp/wp/kumakuma/
http://www.wikidata.org/entity/Q11344566,Mollusco Mugi,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1352217,Mugi,Point(134.443611 33.667056),,https://www.mollusco-mugi.jp/
http://www.wikidata.org/entity/Q28043528,Jong's Crocodile Farm and Zoo,http://www.wikidata.org/entity/Q833,Malaysia,http://www.wikidata.org/entity/Q7507309,Siburan,Point(110.33569444 1.41297222),1979-01-01T00:00:00Z,http://www.jongscrocodile.com/
http://www.wikidata.org/entity/Q4062771,Almaty Zoo,http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q35493,Almaty,Point(76.97405 43.263416),1936-01-01T00:00:00Z,http://www.almatyzoo.kz/
http://www.wikidata.org/entity/Q11514077,Showa Shinzan Bear Ranch,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q670712,Sōbetsu-chō,,,https://kumakuma.co.jp/
http://www.wikidata.org/entity/Q123616743,Isfahan Reptiles Garden,http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q106286723,District 13,Point(51.612805555 32.637666666),,
http://www.wikidata.org/entity/Q25058046,Shenzhen Safari Park,http://www.wikidata.org/entity/Q148,People's Republic of China,http://www.wikidata.org/entity/Q15174,Shenzhen,Point(113.97 22.6),1993-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4925165,Tokyo Sea Life Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q11612550,Rinkaichō,Point(139.862166666 35.640083333),1989-01-01T00:00:00Z,https://www.tokyo-zoo.net/chinese/kasai/
http://www.wikidata.org/entity/Q4925165,Tokyo Sea Life Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q11612550,Rinkaichō,Point(139.862166666 35.640083333),1989-01-01T00:00:00Z,https://www.tokyo-zoo.net/english/kasai/
http://www.wikidata.org/entity/Q4925165,Tokyo Sea Life Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q11612550,Rinkaichō,Point(139.862166666 35.640083333),1989-01-01T00:00:00Z,https://www.tokyo-zoo.net/korean/kasai/
http://www.wikidata.org/entity/Q4925165,Tokyo Sea Life Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q11612550,Rinkaichō,Point(139.862166666 35.640083333),1989-01-01T00:00:00Z,https://www.tokyo-zoo.net/zoo/kasai/
http://www.wikidata.org/entity/Q3845012,Al Ain Zoo,http://www.wikidata.org/entity/Q878,United Arab Emirates,,,Point(55.738492 24.176081),1969-01-01T00:00:00Z,http://www.alainzoo.com
http://www.wikidata.org/entity/Q48725172,Tata Steel Zoological Park,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q200054,Jamshedpur,Point(86.195925 22.81461),,
http://www.wikidata.org/entity/Q19610585,Ankara Zoo,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q3640,Ankara,Point(32.79176 39.946488),,http://www.aoc.gov.tr/index.php?view=cnt&cinf=41%7C12%7C12
http://www.wikidata.org/entity/Q7741262,Ice Museum,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q235746,Kesennuma,Point(141.58 38.9001),,https://okamotoseihyo.jp/ice-aquarium/
http://www.wikidata.org/entity/Q4782624,Aqua World,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1349185,Ōarai-machi,Point(140.593822 36.333347),2002-03-21T00:00:00Z,https://www.aquaworld-oarai.com/
http://www.wikidata.org/entity/Q48732995,DG Khan Zoo,http://www.wikidata.org/entity/Q843,Pakistan,,,Point(70.626498244 30.041591106),,
http://www.wikidata.org/entity/Q31197279,Israel Antelope Ranch,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q626682,Arabah,Point(35.18275 30.577944444),,http://www.afrika.co.il/
