"zooLabel","wikidata"
"Oklahoma Aquarium","http://www.wikidata.org/entity/Q7082106"
"Oklahoma City Zoo and Botanical Garden","http://www.wikidata.org/entity/Q7082160"
"Shoalhaven Zoo","http://www.wikidata.org/entity/Q7066894"
"Virginia Aquarium","http://www.wikidata.org/entity/Q7934109"
"Virginia Living Museum","http://www.wikidata.org/entity/Q7934386"
"Virginia Zoological Park","http://www.wikidata.org/entity/Q7934671"
"Wingham Wildlife Park","http://www.wikidata.org/entity/Q8025221"
"Woburn Safari Park","http://www.wikidata.org/entity/Q8028978"
"Wonders of Wildlife Museum & Aquarium","http://www.wikidata.org/entity/Q8031923"
"Woodland Park Zoo","http://www.wikidata.org/entity/Q8032871"
"Woodward's Gardens","http://www.wikidata.org/entity/Q8033549"
"World of Birds Wildlife Sanctuary and Monkey Park","http://www.wikidata.org/entity/Q8036586"
"Kabul Zoo","http://www.wikidata.org/entity/Q833625"
"Lovech Zoo","http://www.wikidata.org/entity/Q18639466"
"Stara Zagora Zoo","http://www.wikidata.org/entity/Q18639777"
"DeYoung Family Zoo","http://www.wikidata.org/entity/Q5244208"
"Big Bear Alpine Zoo","http://www.wikidata.org/entity/Q6907923"
"ME's Zoo","http://www.wikidata.org/entity/Q6715234"
"Manchester Zoological Gardens","http://www.wikidata.org/entity/Q6747564"
"Micke Grove Zoo","http://www.wikidata.org/entity/Q6838512"
"Monkey Sanctuary","http://www.wikidata.org/entity/Q6900809"
"Northeastern Wisconsin Zoo","http://www.wikidata.org/entity/Q7058075"
"Okanagan Game Farm","http://www.wikidata.org/entity/Q7081785"
"Sasebo Zoological Park and Botanical Garden","http://www.wikidata.org/entity/Q7425054"
"Scovill Zoo","http://www.wikidata.org/entity/Q7438666"
"Serpent Safari","http://www.wikidata.org/entity/Q7455096"
"Shambala Preserve","http://www.wikidata.org/entity/Q7487448"
"Southport Zoo","http://www.wikidata.org/entity/Q7570986"
"Space Farms Zoo and Museum","http://www.wikidata.org/entity/Q7572346"
"Stapp's Circle S Ranch","http://www.wikidata.org/entity/Q7600493"
"Van Kleef Aquarium","http://www.wikidata.org/entity/Q7913465"
"Vehari Wildlife Park","http://www.wikidata.org/entity/Q7918400"
"Wildlife WayStation","http://www.wikidata.org/entity/Q8001334"
"Zoo Taiping","http://www.wikidata.org/entity/Q8074067"
"DG Khan Zoo","http://www.wikidata.org/entity/Q48732995"
"Koh Kong Safari World","http://www.wikidata.org/entity/Q16948780"
"National Zoo & Aquarium","http://www.wikidata.org/entity/Q495039"
"Manila Ocean Park","http://www.wikidata.org/entity/Q28980"
"Bitola Zoo","http://www.wikidata.org/entity/Q158859"
"Nordens Ark","http://www.wikidata.org/entity/Q166851"
"Ueno Zoo","http://www.wikidata.org/entity/Q162722"
"Knie's Kinderzoo","http://www.wikidata.org/entity/Q688446"
"Nuremberg Zoo","http://www.wikidata.org/entity/Q686220"
"Omaha's Henry Doorly Zoo and Aquarium","http://www.wikidata.org/entity/Q674961"
"Tierpark Dählhölzli","http://www.wikidata.org/entity/Q683361"
"Wilhelma","http://www.wikidata.org/entity/Q679067"
"Bioparco di Roma","http://www.wikidata.org/entity/Q864639"
"Birmingham Zoo","http://www.wikidata.org/entity/Q865749"
"Lüneburg Heath Wildlife Park","http://www.wikidata.org/entity/Q869894"
"Naypyidaw Zoological Gardens","http://www.wikidata.org/entity/Q862533"
"Nogeyama Zoo","http://www.wikidata.org/entity/Q861318"
"Serengeti Park","http://www.wikidata.org/entity/Q874796"
"Mote Marine Laboratory","http://www.wikidata.org/entity/Q6917159"
"Landau Zoo","http://www.wikidata.org/entity/Q220051"
"Givskud Zoo","http://www.wikidata.org/entity/Q1790875"
"Aalborg Zoo","http://www.wikidata.org/entity/Q3253024"
"Adelaide Zoo","http://www.wikidata.org/entity/Q3244627"
"La Torbiera","http://www.wikidata.org/entity/Q3213172"
"Lincoln Park Zoo","http://www.wikidata.org/entity/Q3241309"
"Diergaarde Blijdorp","http://www.wikidata.org/entity/Q18775796"
"Ljubljana Zoo","http://www.wikidata.org/entity/Q3436372"
"Safari de Peaugres","http://www.wikidata.org/entity/Q3461255"
"Detroit Zoo","http://www.wikidata.org/entity/Q3576018"
"French Guiana Zoo","http://www.wikidata.org/entity/Q3576019"
"Granby Zoo","http://www.wikidata.org/entity/Q3576020"
"Guadalajara Zoo","http://www.wikidata.org/entity/Q3576044"
"Kamo Wildlife Sanctuary","http://www.wikidata.org/entity/Q3575597"
"Khao Kheow Open Zoo","http://www.wikidata.org/entity/Q3576017"
"Louisville Zoo","http://www.wikidata.org/entity/Q3576024"
"Xcaret Park","http://www.wikidata.org/entity/Q3570845"
"ZooParc de Beauval","http://www.wikidata.org/entity/Q3576007"
"Zoo de la Flèche","http://www.wikidata.org/entity/Q3576022"
"Zoomarine","http://www.wikidata.org/entity/Q3576051"
"Butterfly Pavilion","http://www.wikidata.org/entity/Q5002947"
"Butterfly World, Isle of Wight","http://www.wikidata.org/entity/Q5002963"
"Buttonwood Park Zoo","http://www.wikidata.org/entity/Q5003118"
"Buttonwood Park Zoo","http://www.wikidata.org/entity/Q5003119"
"Cabrillo Marine Aquarium","http://www.wikidata.org/entity/Q5015841"
"Cairns Tropical Zoo","http://www.wikidata.org/entity/Q5017723"
"Caldwell Zoo","http://www.wikidata.org/entity/Q5019173"
"Cali Zoo","http://www.wikidata.org/entity/Q5019807"
"California Living Museum","http://www.wikidata.org/entity/Q5020672"
"Clearwater Marine Aquarium","http://www.wikidata.org/entity/Q5130943"
"Clyde Peeling's Reptiland","http://www.wikidata.org/entity/Q5136996"
"Colchester Zoo","http://www.wikidata.org/entity/Q5142118"
"Colorado Gators Reptile Park","http://www.wikidata.org/entity/Q5148807"
"Columbus Zoo and Aquarium","http://www.wikidata.org/entity/Q5150169"
"Como Park Zoo and Conservatory","http://www.wikidata.org/entity/Q5155139"
"Staten Island Zoo","http://www.wikidata.org/entity/Q4193914"
"Dickerson Park Zoo","http://www.wikidata.org/entity/Q5273643"
"Ecomuseum Zoo","http://www.wikidata.org/entity/Q5333314"
"Edmonton Valley Zoo","http://www.wikidata.org/entity/Q5339105"
"El Paso Zoo","http://www.wikidata.org/entity/Q5351804"
"Giraffe Centre","http://www.wikidata.org/entity/Q5564103"
"Gladys Porter Zoo","http://www.wikidata.org/entity/Q5566451"
"Glasgow Zoo","http://www.wikidata.org/entity/Q5566964"
"Living Desert Zoo and Gardens","http://www.wikidata.org/entity/Q5551958"
"Mill Mountain Zoo","http://www.wikidata.org/entity/Q6858365"
"Miller Park Zoo","http://www.wikidata.org/entity/Q6859211"
"Mitchell Park Zoo","http://www.wikidata.org/entity/Q6881335"
"Rare Species Conservation Centre","http://www.wikidata.org/entity/Q7294528"
"Red River Zoo","http://www.wikidata.org/entity/Q7304877"
"Ree Park – Ebeltoft Safari","http://www.wikidata.org/entity/Q7306556"
"Reid Park Zoo","http://www.wikidata.org/entity/Q7309977"
"John Ball Zoological Garden","http://www.wikidata.org/entity/Q6220465"
"Jungle Cat World","http://www.wikidata.org/entity/Q6312792"
"Jungle World, Rawalpindi","http://www.wikidata.org/entity/Q6312921"
"Lahore Zoo Safari","http://www.wikidata.org/entity/Q6473423"
"Lakeland Wildlife Oasis","http://www.wikidata.org/entity/Q6478839"
"Lakes Aquarium","http://www.wikidata.org/entity/Q6478947"
"Montpellier Zoological Park","http://www.wikidata.org/entity/Q6465257"
"Symbio Wildlife Park","http://www.wikidata.org/entity/Q7661113"
"Taman Safari","http://www.wikidata.org/entity/Q7680645"
"Theater of the Sea","http://www.wikidata.org/entity/Q7777314"
"Thiruvananthapuram Zoo","http://www.wikidata.org/entity/Q7785508"
"Thrissur Zoo","http://www.wikidata.org/entity/Q7798287"
"Kewaunee County Bruemmer Park and Zoo","http://www.wikidata.org/entity/Q16893287"
"Milwaukee County Zoo","http://www.wikidata.org/entity/Q11781326"
"Tábor Zoo","http://www.wikidata.org/entity/Q11756334"
"Toruń Zoobotanical Garden","http://www.wikidata.org/entity/Q11796771"
"Zoo and Botanical Garden in Toruń","http://www.wikidata.org/entity/Q11796771"
"Gembira Loka Zoo","http://www.wikidata.org/entity/Q13093132"
