qid,zooLabel,countryLabel,inception,regionLabel
Q7061713,Tel Aviv Dolphinarium,Israel,,Tel Aviv
Q1073067,Toba Aquarium,Japan,1955-05-15T00:00:00Z,Toba
Q48725172,Tata Steel Zoological Park,India,,Jamshedpur
Q124315744,Milad Tower Dolphinarium,Iran,,District 2
Q1026285,Calauit Safari Park,Philippines,1976-08-31T00:00:00Z,Busuanga
Q5617187,Gulab Bagh and Zoo,India,1881-01-01T00:00:00Z,Udaipur district
Q58322404,Q58322404,Cambodia,,Phnom Penh
Q48732995,DG Khan Zoo,Pakistan,,
Q31197279,Israel Antelope Ranch,Israel,,Arabah
Q5269661,Dhodial Pheasantry,Pakistan,,
Q4941423,Bondla Wildlife Sanctuary,India,,
Q3156501,Izu Mito Sea Paradise,Japan,1930-01-01T00:00:00Z,Numazu
Q42796626,Gan Guru,Israel,1996-01-01T00:00:00Z,Nir David
Q48797664,Samphran Elephant Ground & Zoo,Thailand,,Sam Phran
Q41442819,Q41442819,Israel,,Matzuva
Q137767184,Sincan Zoo,Turkey,,Sincan district
Q60776627,Konya Tropical Butterfly Garden,Turkey,,
Q65117876,Harbin Zoo,People's Republic of China,,
Q5578056,Gokatsura Pond Furusato Village,Japan,1993-01-01T00:00:00Z,
Q2859182,Istanbul Aquarium,Turkey,2011-04-01T00:00:00Z,Bakırköy
Q6055894,Gaziantep Zoo,Turkey,2001-01-01T00:00:00Z,Şahinbey district
Q5187417,Crocolandia Foundation,Philippines,2001-01-01T00:00:00Z,Talisay
Q4854746,Bandung Zoo,Indonesia,1933-01-01T00:00:00Z,Bandung
Q41860391,Q41860391,Israel,,Sde Boker
Q60751176,Lalazar Safari Park,Pakistan,,
Q5313401,Dulhazra Safari Park,Bangladesh,,
Q3229621,Leofoo Village Theme Park,Taiwan,1979-01-01T00:00:00Z,Guanxi Township
Q4828854,Avilon Zoo,Philippines,2005-01-01T00:00:00Z,Q106825
Q97161072,"Oomurasaki Center, Hokuto City",Japan,1995-01-01T00:00:00Z,Hokuto
Q4812638,Atagawa Tropical & Alligator Garden,Japan,1958-09-20T00:00:00Z,Higashiizu
Q6045732,Soğanlı Zoo,Turkey,,Bursa Province
Q47462824,Nagaland Zoological Park,India,2008-08-28T00:00:00Z,Dimapur district
Q138081793,"Himalayan Zoological Park, Sikkim",India,,Gangtok
Q41793070,Q41793070,Israel,,Katzrin
Q58061574,Baja Wildlife Park,Pakistan,,Swabi
Q5507695,Fukuoka Municipal Zoo and Botanical Garden,Japan,1953-08-01T00:00:00Z,Hirao-jōsuimachi
Q59587500,Shaheed Ashfaq Ullah Khan Prani Udyan,India,,Gorakhpur
Q4850846,Taman Safari Bali (Bali Safari),Indonesia,2007-11-13T00:00:00Z,Gianyar
Q30672224,Bali Butterfly Park,Indonesia,,
Q60994248,Q60994248,Taiwan,,Madou District
Q4802284,Melaka Zoo and Bird Park,Malaysia,1963-01-01T00:00:00Z,Melaka Tengah District
Q2859205,Shanghai Ocean Aquarium,People's Republic of China,,
Q5507754,Fukuyama City Zoo,Japan,1978-04-01T00:00:00Z,Fukuyama
Q1445750,Okinawa Churaumi Aquarium,Japan,2002-01-01T00:00:00Z,Motobu
Q28004709,SeaWorld Abu Dhabi,United Arab Emirates,2023-05-23T00:00:00Z,Abu Dhabi
Q4746784,Amirthi Zoological Park,India,1967-01-01T00:00:00Z,
Q57896831,Davao Crocodile Park,Philippines,,Davao City
Q42530840,Peshawar Zoo,Pakistan,2018-01-01T00:00:00Z,Peshawar
Q3055859,Aqua Park Shinagawa,Japan,,Takanawa
Q48724223,Kurumbapatti Zoological Park,India,,Tamil Nadu
Q61368132,Siddharth Garden and Zoo,India,1984-01-01T00:00:00Z,Aurangabad
Q29129,Taman Safari Indonesia 2,Indonesia,,
Q2584900,Himeji City Aquarium,Japan,1966-06-12T00:00:00Z,Himeji
Q48749937,Utsunomiya Zoo,Japan,,Utsunomiya
Q27963566,Baluarte Zoo,Philippines,,Q235004
Q5939541,Vakilabad Zoo,Iran,,Mashhad County
Q25040434,Murree Wildlife Park,Pakistan,,Murree Tehsil
Q38278109,Tsushima Wildlife Conservation Center,Japan,1997-01-01T00:00:00Z,Tsushima
Q58423155,Q58423155,Israel,1990-01-01T00:00:00Z,Bnei Brak
Q6055483,İzmir Zoo,Turkey,1938-01-01T00:00:00Z,Konak
Q38882839,Petah Tikva Zoo,Israel,1954-01-01T00:00:00Z,Petah Tikva
Q81036087,Bhagwan Birsa Biological Park,India,,Jharkhand
Q6025038,Indira Gandhi Zoological Park,India,1977-01-01T00:00:00Z,
Q69535915,"Ostrich Farm, Saifai, Etawah",India,,Etawah district
Q17016128,Yunnan Wildlife Park,People's Republic of China,,Panlong District
Q778531,Karachi Safari Park,Pakistan,1970-01-01T00:00:00Z,Karachi
Q28146533,Banteay Srey Butterfly Centre,Cambodia,,Siem Reap
Q55237812,Kakuzan Zoo,Japan,,Tsuyama
Q697507,National Museum of Marine Biology and Aquarium,Taiwan,2000-02-25T00:00:00Z,Checheng Township
Q107455617,Rungna Dolphinarium,North Korea,2012-01-01T00:00:00Z,Pyongyang
Q41794740,Monkey Forest,Israel,1970-01-01T00:00:00Z,Yodfat
Q5565036,Gita Persada Butterfly Park,Indonesia,,North Telukbetung
Q137556044,Baoding Zoo,People's Republic of China,,Baoding
Q5528980,Gaza Zoo,Palestine,,Gaza Strip
Q5071705,Changa Manga,Pakistan,,Chunian Tehsil
Q5302436,Jigokudani Monkey Park,Japan,1964-06-03T00:00:00Z,Yamanouchi
Q59255587,Changsha Ecological Zoo,People's Republic of China,2010-01-01T00:00:00Z,
Q5310637,Dubai Zoo,United Arab Emirates,1967-01-01T00:00:00Z,Dubai
Q137534657,The Pig Museum,South Korea,,Icheon
Q29025197,Comilla Zoo and Botanical Garden,Bangladesh,,
Q3549275,Qingdao Underwater World,People's Republic of China,,
Q4851117,Balkasar Bear Sanctuary,Pakistan,,
Q863153,Yokohama Hakkeijima Sea Paradise,Japan,1993-05-08T00:00:00Z,Yokohama
Q5316871,Dushanbe Zoo,Tajikistan,1960-01-01T00:00:00Z,Dushanbe
Q137938768,Entopia,Malaysia,,Penang
Q28219616,Johor Zoo,Malaysia,1928-01-01T00:00:00Z,Johor Bahru
Q136867822,Seoul Zoo,South Korea,,Gyeonggi Province
